Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
7687606,3260282065,3362127063,'UmerAfghani','Umerafghani2','Umer Afghani','Umer Afghani',0.976
7687607,3260282065,3362488991,'UmerAfghani','umer_afghani','Umer Afghani','Umer Afghani',0.976
7688025,3362127063,3362488991,'Umerafghani2','umer_afghani','Umer Afghani','Umer Afghani',0.973
7699741,1638965720,2799793910,'UmmBilal03','UmmBilal33','Umm Bilal','Umm Bilal',0.972
7702444,2154321236,3130256344,'Ummfatima777','ummfatima_','Umm Fatima','Umm Fatima',0.964
7702530,2154321236,3386018133,'Ummfatima777','Umm_Fatima_3','Umm Fatima','Umm Fatima',0.956
7703291,3130256344,3386018133,'ummfatima_','Umm_Fatima_3','Umm Fatima','Umm Fatima',0.972
7706590,3249352502,3543816979,'UmmHussainBrit1','UmmHussain_1','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.802
7706591,3249352502,3359831590,'UmmHussainBrit1','UmmHussain_10','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.788
7706592,3249352502,3367626107,'UmmHussainBrit1','UmmHussain_13','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.788
7706593,3249352502,3359824990,'UmmHussainBrit1','UmmHussain_16','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.788
7706961,3543816979,3359831590,'UmmHussain_1','UmmHussain_10','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.861
7706962,3543816979,3367626107,'UmmHussain_1','UmmHussain_13','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.861
7706963,3543816979,3359824990,'UmmHussain_1','UmmHussain_16','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.861
7706964,3543816979,3331665484,'UmmHussain_1','UmmHussain_5','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.845
7707331,3359831590,3367626107,'UmmHussain_10','UmmHussain_13','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.847
7707332,3359831590,3359824990,'UmmHussain_10','UmmHussain_16','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.847
7707333,3359831590,3331665484,'UmmHussain_10','UmmHussain_5','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.830
7707700,3367626107,3359824990,'UmmHussain_13','UmmHussain_16','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.847
7707701,3367626107,3331665484,'UmmHussain_13','UmmHussain_5','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.830
7708068,3359824990,3331665484,'UmmHussain_16','UmmHussain_5','UmmHussainBritu0101niya','UmmHussainBritu0101niya',0.830
7713547,2945045367,3353822158,'ummmaryam34','Umm___Maryam','umm maryam','Umm Maryam',0.786
7715263,1439981568,1169382506,'ummmusa5','umm_2','ummmusa','umm musa',0.855
7730805,3294569843,3361628457,'Umm_abisali333','U_Abisali','umm Abisali','Umm Abisali',0.960
7739281,3156419537,3230224989,'um_abis111','um_abis222','Umm Abisali','Um Abisali',0.931
7751286,3174529005,3255783849,'Vittek_dw121','Vittek_dwla11','Vittek','Vittek',0.830
7752591,1272809024,1274456084,'VoiceRohingya','VoiceRohingyaa','Voice of Rohingya','Voice of Rohingya',0.862
